County,year,deaths
Montgomery,2005,116
Brown,2005,5
Butler,2005,31
Clark,2005,15
Fayette,2005,3
Clinton,2005,4
Clermont,2005,22
Adams,2005,6
Trumbull,2005,29
Scioto,2005,17
Preble,2005,4
Marion,2005,7
Hamilton,2005,86
Ross,2005,14
Erie,2005,3
Darke,2005,4
Richland,2005,13
Lawrence,2005,5
Lorain,2005,13
Jefferson,2005,12
Gallia,2005,4
Summit,2005,50
Columbiana,2005,1
Mahoning,2005,29
Lake,2005,18
Pike,2005,3
Jackson,2005,4
Ashtabula,2005,6
Cuyahoga,2005,115
Huron,2005,5
Lucas,2005,49
Ohio total,2005,1020
Miami,2005,11
Champaign,2005,0
Greene,2005,19
Shelby,2005,2
Guernsey,2005,2
Sandusky,2005,1
Belmont,2005,6
Crawford,2005,10
Madison,2005,1
Highland,2005,6
Allen,2005,4
Logan,2005,3
Warren,2005,21
Meigs,2005,2
Washington,2005,5
Vinton,2005,4
Portage,2005,7
Geauga,2005,3
Franklin,2005,102
Morrow,2005,3
Hardin,2005,2
Hocking,2005,1
Hancock,2005,3
Seneca,2005,3
Stark,2005,16
Pickaway,2005,3
Harrison,2005,0
Van wert,2005,1
Morgan,2005,1
Carroll,2005,2
Medina,2005,8
Knox,2005,3
Ottawa,2005,2
Fulton,2005,1
Wayne,2005,6
Athens,2005,7
Fairfield,2005,8
Defiance,2005,2
Perry,2005,2
Licking,2005,10
Muskingum,2005,1
Tuscarawas,2005,3
Wood,2005,4
Henry,2005,3
Mercer,2005,1
Coshocton,2005,5
Williams,2005,1
Auglaize,2005,2
Union,2005,4
Putnam,2005,0
Wyandot,2005,0
Delaware,2005,5
Ashland,2005,3
Holmes,2005,0
Monroe,2005,0
Noble,2005,0
Paulding,2005,2
Montgomery,2005,125
Brown,2005,5
Butler,2005,47
Clark,2005,18
Fayette,2005,5
Clinton,2005,6
Clermont,2005,31
Adams,2005,6
Trumbull,2005,30
Scioto,2005,15
Preble,2005,3
Marion,2005,3
Hamilton,2005,98
Ross,2005,11
Erie,2005,4
Darke,2005,1
Richland,2005,16
Lawrence,2005,7
Lorain,2005,18
Jefferson,2005,12
Gallia,2005,6
Summit,2005,53
Columbiana,2005,7
Mahoning,2005,25
Lake,2005,29
Pike,2005,2
Jackson,2005,14
Ashtabula,2005,5
Cuyahoga,2005,168
Huron,2005,5
Lucas,2005,44
Ohio total,2005,1261
Miami,2005,8
Champaign,2005,4
Greene,2005,21
Shelby,2005,3
Guernsey,2005,0
Sandusky,2005,7
Belmont,2005,5
Crawford,2005,9
Madison,2005,2
Highland,2005,4
Allen,2005,6
Logan,2005,6
Warren,2005,17
Meigs,2005,5
Washington,2005,9
Vinton,2005,3
Portage,2005,12
Geauga,2005,5
Franklin,2005,154
Morrow,2005,5
Hardin,2005,10
Hocking,2005,1
Hancock,2005,1
Seneca,2005,3
Stark,2005,25
Pickaway,2005,5
Harrison,2005,0
Van wert,2005,4
Morgan,2005,1
Carroll,2005,2
Medina,2005,7
Knox,2005,4
Ottawa,2005,2
Fulton,2005,1
